Title,Location,Price,Image
TamashaTamashaTamashaTamasha,"Connaught Place, Central Delhi","₹ 2,000 for 2 (approx) ",https://im1.dineout.co.in/images/uploads/restaurant/sharpen/2/a/j/p20996-145631488756cd9a0796608.jpg?tr=tr:n-medium
LocalLocalLocalLocal,"Scindia House,Connaught Place, Central Delhi","₹ 2,000 for 2 (approx) ",https://im1.dineout.co.in/images/uploads/restaurant/sharpen/2/b/t/p27452-15020105505986dcb6d147f.jpg?tr=tr:n-medium
Ministry Of BeerMinistry Of BeerMinistry Of BeerMinistry Of Beer,"M-Block,Connaught Place, Central Delhi","₹ 3,000 for 2 (approx) ",https://im1.dineout.co.in/images/uploads/restaurant/sharpen/3/a/d/p32381-1495943585592a49a166fe7.jpg?tr=tr:n-medium
Station BarStation BarStation BarStation Bar,"F-Block,Connaught Place, Central Delhi","₹ 1,100 for 2 (approx) ",https://im1.dineout.co.in/images/uploads/restaurant/sharpen/9/i/b/p971-165909823762e3d47db6d56.jpg?tr=tr:n-medium
Unplugged CourtyardUnplugged CourtyardUnplugged CourtyardUnplugged Courtyard,"Connaught Place, Central Delhi","₹ 3,300 for 2 (approx) ",https://im1.dineout.co.in/images/uploads/restaurant/sharpen/2/u/y/p20941-15700828565d959028e9f28.jpg?tr=tr:n-medium
My Bar SquareMy Bar SquareMy Bar SquareMy Bar Square,"Connaught Place, Central Delhi","₹ 2,000 for 2 (approx) ",https://im1.dineout.co.in/images/uploads/restaurant/sharpen/1/m/i/p12709-15681189525d7798a8c5aa5.jpg?tr=tr:n-medium
Cafe High 5Cafe High 5Cafe High 5Cafe High 5,"Connaught Place, Central Delhi","₹ 1,700 for 2 (approx) ",https://im1.dineout.co.in/images/uploads/restaurant/sharpen/6/d/f/p69146-16614287776307642999f0a.jpg?tr=tr:n-medium
Openhouse CafeOpenhouse CafeOpenhouse CafeOpenhouse Cafe,"Connaught Place, Central Delhi","₹ 2,000 for 2 (approx) ",https://im1.dineout.co.in/images/uploads/restaurant/sharpen/1/j/y/p19748-16474299906231c96621c58.jpg?tr=tr:n-medium
The Junkyard CafeThe Junkyard CafeThe Junkyard CafeThe Junkyard Cafe,"Connaught Place, Central Delhi","₹ 2,100 for 2 (approx) ",https://im1.dineout.co.in/images/uploads/restaurant/sharpen/2/s/y/p20298-1664186585633178d99f1db.jpg?tr=tr:n-medium
Warehouse CafeWarehouse CafeWarehouse CafeWarehouse Cafe,"Connaught Place, Central Delhi","₹ 2,500 for 2 (approx) ",https://im1.dineout.co.in/images/uploads/restaurant/sharpen/4/h/o/p420-15241335515ad86eaf373ce.jpg?tr=tr:n-medium
