Data Scientist data Analyst,"Delhi / NCR, Kolkata, Hyderabad/Secunderabad, Pune, Ahmedabad, Chennai, Bangalore/Bengaluru, Mumbai (All Areas)",Smark Laser Automation,0-5 Yrs
Data Scientist - Engine Algorithm,"Delhi / NCR, Kolkata, Mumbai, Hyderabad/Secunderabad, Lucknow, Chennai, Ahmedabad, Bangalore/Bengaluru",Primo Hiring,1-3 Yrs
Analyst-Data Science,Gurgaon/Gurugram,AMERICAN EXPRESS,0-3 Yrs
Analyst-Data Science,Gurgaon/Gurugram,AMERICAN EXPRESS,0-3 Yrs
Senior Data Scientist - Statistics,Gurgaon/Gurugram,Optum,5-8 Yrs
Data Scientist,"Delhi / NCR, Noida(Sector-136 Noida), Ghaziabad, Greater Noida",Extramarks Education,3-5 Yrs
Data Scientist,Gurgaon/Gurugram,Gartner India Research &amp; Advisory Services Pvt Ltd,2-7 Yrs
Associate Data Scientist - ML & NLP,Gurgaon/Gurugram,Gartner India Research &amp; Advisory Services Pvt Ltd,2-4 Yrs
Data Scientist,Noida,Gujarat Fluorochemicals,1-2 Yrs
Data Scientist,"Dehradun, Hyderabad/Secunderabad, Gurgaon/Gurugram",Torcai Digital Media,2-7 Yrs
